Registrar,Count,Percentage,Total
NameCheap,2256,17%,13356
Google Inc.,1426,11%,
Tucows Domains Inc.,1208,9%,
1&1,804,6%,
PDR Ltd. d/b/a PublicDomainRegistry.com,687,5%,
Network Solutions,597,4%,
"BigRock Solutions Ltd	468",468,4%,
FastDomain Inc.,444,3%,
Domain.com,344,3%,
"BigRock Solutions Limited	317",317,2%,
Hostinger,298,2%,
NameSilo,291,2%,
Paragon Internet Group Ltd t/a Paragon Names,274,2%,
eNom,271,2%,
Wild West Domains,265,2%,
Name.com,210,2%,
Register.it SPA,210,2%,
Launchpad.com Inc.,197,1%,
"Automattic Inc.	147",147,1%,
Wix.com Ltd.,130,1%,
FBS Inc.,125,1%,
"Crazy Domains FZ-LLC	124",124,1%,
Alibaba Cloud Computing (Beijing) Co.,122,1%,
Nics Telekomunikasyon A.S.,120,1%,
Amazon Registrar,108,1%,
DYNADOT,102,1%,
Domainshype.com,93,1%,
DreamHost,93,1%,
Porkbun LLC,87,1%,
Register.com,74,1%,
REGISTRAR OF DOMAIN NAMES REG.RU LLC,74,1%,
Realtime Register B.V.,68,1%,
OVH sas,66,0%,
Aerotek Bilisim Sanayi ve Ticaret AS,62,0%,
Xin Net Technology Corporation,55,0%,
DNC Holdings,51,0%,
One.com A/S,51,0%,
Key-Systems GmbH,48,0%,
Hosting Concepts,41,0%,
1API GmbH,40,0%,
"Cronon AG	40",40,0%,
Ligne Web Services SARL dba LWS,38,0%,
"Digivity B.V.	36",36,0%,
Nominalia Internet S.L.,31,0%,
Web Commerce Communications Limited dba WebNic.cc,30,0%,
Gandi SAS,28,0%,
IHS Telekom,28,0%,
Uniregistrar Corp,28,0%,
OnlineNIC,27,0%,
Instra Corporation Pty Ltd.,25,0%,
Acens Technologies,23,0%,
LCN.COM Ltd.,22,0%,
OwnRegistrar,21,0%,
Papaki Ltd,21,0%,
"Dattatec.com SRL	18",18,0%,
NetEarth One Inc. d/b/a NetEarth,17,0%,
OpenTLD B.V.,17,0%,
Net 4 India Limited,16,0%,
MAT BAO CORPORATION,15,0%,
Neubox Internet S.A. de C.V.,15,0%,
iNET CORPORATION,14,0%,
"CSL Computer Service Langenbach GmbH d/b/a joker.com	13",13,0%,
Metaregistrar BV,13,0%,
Soluciones Corporativas IP,13,0%,
"CCI REG S.A.	12",12,0%,
United-Domains AG,12,0%,
101domain GRS Limited,11,0%,
eName Technology Co.,11,0%,
Internet Domain Service BS Corp,10,0%,
NetRegistry Pty Ltd.,9,0%,
Synergy Wholesale Pty Ltd,9,0%,
AB Name ISP,8,0%,
DropCatch.com,8,0%,
"Epik Inc.	8",8,0%,
EuroDNS S.A.,8,0%,
TLD Registrar Solutions Ltd.,8,0%,
"Beget LLC	7",7,0%,
"Blacknight Internet Solutions Ltd.	7",7,0%,
"CV. Rumahweb Indonesia	7",7,0%,
"EASYSPACE LIMITED	7",7,0%,
"EPAG DOMAINSERVICES GmbH	7",7,0%,
Good Domain Registry Pvt Ltd.,7,0%,
In2net Network Inc.,7,0%,
Moniker Online Services LLC,7,0%,
TurnCommerce,7,0%,
Gransy s.r.o d/b/a subreg.cz,6,0%,
NetArt Sp z o.o,6,0%,
P.A. Viet Nam Company Limited,6,0%,
Rebel Ltd,6,0%,
22net,5,0%,
ALIBABA.COM SINGAPORE E-COMMERCE PRIVATE LIMITED,5,0%,
Infomaniak Network SA,5,0%,
Innovadeus Pvt. Ltd.,5,0%,
RegistryGate GmbH,5,0%,
TierraNet Inc. d/b/a DomainDiscover,5,0%,
TLDS L.L.C. d/b/a SRSPlus,5,0%,
Web Werks India Pvt. Ltd d/b/a ZenRegistry.com,5,0%,
"CV. JOGJACAMP	4",4,0%,
LiquidNet Ltd.,4,0%,
NamePal.com,4,0%,
Namespro Solutions Inc.,4,0%,
Netistrar Limited,4,0%,
Omnis Network,4,0%,
Regional Network Information Center,4,0%,
Sibername Internet and Software Technologies Inc.,4,0%,
SNAPNAMES 30,4,0%,
TPP Wholesale Pty Ltd.,4,0%,
"Diamatrix C.C.	3",3,0%,
"DotRoll Kft.	3",3,0%,
Namefinger.com LLC,3,0%,
Shanghai Meicheng Technology Information Development Co.,3,0%,
Shinjiru Technology Sdn Bhd,3,0%,
Tiger Technologies LLC,3,0%,
URL Solutions,3,0%,
Alpnames Limited,2,0%,
"Binero AB	2",2,0%,
Mps Infotecnics Limited,2,0%,
NetArt Registrar Sp. z o.o.,2,0%,
Nhan Hoa Software Company Ltd.,2,0%,
PlanetHoster Inc.,2,0%,
Regtime Ltd.,2,0%,
Vitalwerks Internet Solutions,2,0%,
Webnames.ca Inc.,2,0%,
West263 International Limited,2,0%,
Xiamen 35.Com Technology Co.,2,0%,
NAMEBAY,1,0%,
10dencehispahard,1,0%,
1st-for-domain-names,1,0%,
Above.com Pty Ltd.,1,0%,
Aquarius Domains,1,0%,
"Blue Angel Domains LLC	1",1,0%,
"Buzinessware FZCO	1",1,0%,
"Center of Ukrainian Internet Names	1",1,0%,
"Dinahosting s.l.	1",1,0%,
"EASYSPACE LTD.	1",1,0%,
JarheadDomains.com LLC,1,0%,
Jiangsu Bangning Science & technology Co. Ltd.,1,0%,
KHEWEUL.COM SA,1,0%,
MarkMonitor Inc.,1,0%,
Ports Group AB,1,0%,
Protocol Internet Technology Limited T/A Hosting Ireland,1,0%,
Rainydaydomains.com LLC,1,0%,
REGISTER NV DBA REGISTER.EU,1,0%,
REGISTER4LESS,1,0%,
RegistrarSEC LLC,1,0%,
SafeNames Ltd.,1,0%,
Shanghai Best Oray Information S&T Co.,1,0%,
Site Matrix LLC,1,0%,
Sliceofheaven Domains,1,0%,
Tecnocratica Centro de Datos,1,0%,
The Domains LLC,1,0%,
Touchdown Domains LLC.,1,0%,
V12 Domains,1,0%,
Vautron Rechenzentrum AG,1,0%,
Web Drive Ltd.,1,0%,
Web4Africa Inc.,1,0%,
Whois Networks Co.,1,0%,
Wingu Networks,1,0%,
Xiamen Domains,1,0%,
Zhengzhou Century Connect Electronic Technology Development Co.,1,0%,
