Date,United States,India,United Kingdom,Mexico,Russia,Canada
6/24/19,0.97521985,0.99357474,0.9386503,0.96875,0.90909094,0.9285714
6/23/19,0.9807692,0.9672619,0.9072165,0.983871,0.88,0.9512195
6/22/19,0.97140384,0.9866667,0.9308756,0.94871795,0.9032258,0.96478873
6/21/19,0.97140306,0.9094077,0.9191176,0.97979796,0.8,0.96575344
6/20/19,0.975704,0.94962686,0.968,0.9791667,0.9285714,0.9868421
6/19/19,0.9784041,0.92668027,0.9007353,0.98734176,0.972973,0.9459459
6/18/19,0.97308564,0.94033414,0.9514563,0.9625,0.9259259,0.981982
6/17/19,0.9706383,0.9372093,0.9021277,0.96,0.875,0.91709846
6/16/19,0.97503376,0.9256966,0.9209486,0.88235295,0.8947368,0.95625
6/15/19,0.9706294,0.9294606,0.9859155,0.96875,0.8947368,0.96103895
6/14/19,0.9708819,0.9444444,0.8951049,0.94736844,0.9285714,0.9677419
6/13/19,0.9788592,0.93715847,0.91803277,0.9402985,0.8333333,0.92941177
6/12/19,0.9737443,0.80614203,0.9076923,0.9433962,0.8095238,0.9897959
6/11/19,0.96852046,0.93979055,0.92718446,0.9701493,0.9259259,0.92805755
6/10/19,0.9782186,0.9470752,0.93303573,0.9444444,0.9655172,0.9866667
6/9/19,0.9727503,0.9162304,0.94509804,0.9183673,0.8965517,0.9634146
6/8/19,0.96939415,0.906383,0.95,0.95714283,0.93333334,0.9719101
6/7/19,0.97284347,0.88967973,0.9121622,0.9350649,0.95,0.9378882
6/6/19,0.9752006,0.9532967,0.9477612,0.984375,0.8787879,0.9431818
6/5/19,0.9721116,0.95164835,0.94570136,0.82051283,0.9512195,0.9266055
6/4/19,0.97633743,0.9390863,0.94262296,0.9692308,0.8064516,0.96666664
6/3/19,0.9721595,0.9451697,0.9543379,0.974359,0.8888889,0.93582886
6/2/19,0.97989357,0.9322917,0.93119264,0.9594595,0.95652175,0.9326923
6/1/19,0.97331554,0.9315589,0.94527364,0.93421054,0.8780488,0.9380952
5/31/19,0.9663731,0.942953,0.8670886,0.972973,0.8684211,0.9689441
5/30/19,0.9747306,0.94133335,0.96330273,0.96153843,0.95,0.962963
5/29/19,0.96664274,0.9419192,0.920398,0.98245615,0.95652175,0.9375
5/28/19,0.9769522,0.9511568,0.9186603,0.95454544,0.95454544,0.9705882
5/26/19,0.97451276,0.9484536,0.9400749,0.9577465,0.9230769,0.9723757
5/25/19,0.9727723,0.9159664,0.9170507,0.969697,0.96428573,0.9766082
5/24/19,0.97353184,0.94736844,0.95683455,0.96153843,0.9787234,0.95953757
5/23/19,0.9718716,0.9251337,0.9773585,0.9354839,0.9677419,0.9680851
5/22/19,0.9708879,0.95156693,0.94285715,0.9701493,0.97959185,0.9574468
5/21/19,0.980445,0.95,0.91566265,0.9746835,0.9166667,0.9493671
5/20/19,0.96601003,0.9197995,0.8967136,0.9,0.9354839,0.9433962
5/19/19,0.96277493,0.94221103,0.91845495,0.96363634,0.9677419,0.9655172
5/18/19,0.97170347,0.9458333,0.902439,0.9634146,0.8888889,0.99014777
5/17/19,0.9728938,0.9341693,0.92753625,0.9583333,0.877551,0.9589041
5/16/19,0.9684982,0.94579947,0.94630873,0.9444444,0.93877554,0.9381443
5/15/19,0.9717376,0.95533496,0.9188034,0.9056604,0.88461536,0.93939394
5/14/19,0.976398,0.8927614,0.94323146,0.88461536,0.95384616,0.9695122
5/13/19,0.96436334,0.8991355,0.95884776,0.9722222,0.8636364,0.9635417
5/3/19,0.96898025,0.9120521,0.9467213,0.98,0.90909094,0.96256685
5/2/19,0.9705774,0.9414758,0.9502075,0.962963,0.9,0.9766082
5/1/19,0.96885306,0.93700784,0.94949496,0.9591837,0.9117647,0.9691358
4/24/19,0.97691196,0.93154037,0.9219858,0.9859155,0.96666664,0.9714286
4/23/19,0.96662873,0.93715847,0.94485295,0.8333333,0.9655172,0.98351645
4/22/19,0.6666667,0.94799054,0.9617021,0.8947368,0.9259259,0.9653179
4/21/19,0.95803183,0.94140625,0.93650794,0.8965517,0.9,0.98285717
4/20/19,0.95699656,0.7894737,0.94285715,0.96875,0.9591837,0.9305556
4/19/19,0.9667319,0.9453925,0.95424837,0.974359,0.76666665,0.9325843
4/18/19,0.9698455,0.9419087,0.95498395,0.9285714,0.90697676,0.9350649
4/17/19,0.96667886,0.91292876,0.93501806,0.9411765,0.9354839,0.9776536
4/15/19,0.9684801,0.94570136,0.5,0.9846154,0.925,0.96
4/14/19,0.95428205,0.9236641,0.9338235,0.98275864,0.9846154,0.95679015
4/13/19,0.96576226,0.9278075,0.963964,0.975,0.9148936,0.9139785
4/12/19,0.9686328,0.943609,0.9489796,0.91549295,0.90697676,0.79611653
4/11/19,0.97816825,0.9216301,0.94285715,0.8888889,0.8214286,0.98675495
4/10/19,0.97431505,0.95454544,0.9361702,0.95454544,0.9444444,0.9303483
4/9/19,0.9695216,0.9587629,0.93133044,0.95238096,0.8333333,0.98224854
4/8/19,0.9688821,0.92329544,0.8848485,0.95652175,0.925,0.953125
4/7/19,0.9651264,0.9382716,0.9086022,0.9375,0.93333334,0.9230769
4/6/19,0.95529413,0.96142435,0.91780823,0.9516129,0.9,0.96153843
4/5/19,0.9646539,0.92424244,0.9433962,0.93333334,0.93333334,0.9593909
4/4/19,0.96940196,0.9399293,0.93442625,0.97619045,0.8947368,0.9665272
4/3/19,0.9700388,0.9295302,0.9348837,0.96153843,0.8888889,0.9497207
4/2/19,0.96726507,0.92913383,0.89637303,0.98275864,0.84615386,0.9757576
4/1/19,0.9650672,0.94505495,0.9787234,0.974359,0.93333334,0.9532164
3/31/19,0.9700288,0.9302326,0.9268293,0.9137931,0.9166667,0.959596
3/30/19,0.96494156,0.9082569,0.9117647,0.9220779,0.925,0.9108911
3/29/19,0.96793246,0.91150445,0.93410856,0.96428573,0.8292683,0.9391892
3/28/19,0.9658921,0.93286216,0.9625,0.96,0.9661017,0.9655172
3/27/19,0.9721627,0.944,0.8992537,,0.8,0.9537572
3/26/19,0.9690117,0.92488265,0.9490196,0.94736844,0.875,0.96428573
3/25/19,0.9647153,0.9205608,0.92156863,0.9137931,0.9,0.93820226
3/24/19,0.9642417,0.9191375,0.9435484,,0.9722222,0.98136646
3/23/19,0.96112067,0.94299287,0.92511016,0.96875,0.8974359,0.9385965
3/22/19,0.97091895,0.939759,0.9266055,0.95238096,0.9814815,0.9830508
3/21/19,0.9676929,0.93594307,0.9693251,,0.8888889,0.95811516
3/20/19,0.97055495,0.9380531,0.93607306,0.9818182,0.97619045,0.9459459
3/19/19,0.8181818,0.9113924,0.9521531,0.9444444,0.86,0.9516129
3/18/19,0.9736191,0.9306931,0.9066667,0.96428573,0.93333334,0.963964
3/17/19,0.97835237,0.9388889,0.9652174,0.98245615,0.9705882,0.96825397
3/16/19,0.97018635,0.9570552,0.9351852,0.96825397,0.925,0.9240506
3/15/19,0.9781526,0.9315069,0.94067794,0.962963,0.84615386,0.9263804
3/14/19,0.97136796,0.90849674,0.89767444,,0.7692308,0.96202534
3/13/19,0.96954674,0.9532164,0.4,0.9782609,0.92105263,0.5
3/12/19,0.9708185,0.9287356,0.93301433,0.9074074,0.9672131,0.96363634
3/11/19,0.9679253,0.9197861,0.9520958,0.9358974,0.925,0.9736842
3/10/19,0.9570336,0.93157893,0.93434346,0.93333334,0.8235294,0.96062994
3/8/19,0.971214,0.9310345,0.9327731,0.9864865,0.96,0.9741936
3/7/19,0.96085775,0.93895346,0.94222224,,0.8695652,0.9347826
3/6/19,0.9682657,0.91351354,0.96113074,,0.8125,0.9637306
3/5/19,0.9650499,0.9512195,0.9683258,,0.925,0.9673913
3/4/19,0.9641577,0.9269663,0.93191487,0.9777778,0.9056604,0.964539
3/3/19,0.96458685,0.95022625,0.8959538,0.84615386,0.96153843,0.9527559
3/2/19,0.95186335,0.9230769,0.95098037,0.969697,0.87234044,0.90643275
2/28/19,0.969697,0.91973245,0.9596774,0.96666664,0.9756098,0.94152045
2/27/19,0.96989965,0.9382716,0.9475983,0.9677419,0.85714287,0.9431818
2/26/19,0.9714395,0.94658756,0.8902439,0.9722222,0.9245283,0.9574468
2/25/19,0.961613,0.9306667,0.9456067,0.9830508,0.8947368,0.93650794
2/24/19,0.9504084,0.9203297,0.95,,0.9302326,0.9126214
2/23/19,0.93939394,0.94186044,0.8783784,,0.93333334,0.97109824
2/22/19,0.96698815,0.9309309,0.9411765,0.8965517,0.8,0.9550562
2/21/19,0.9693501,0.90909094,0.94570136,0.9782609,0.9354839,0.94736844
2/20/19,0.96464825,0.92702705,0.9579832,,0.87234044,0.96216214
2/19/19,0.97992474,0.94559586,0.89772725,0.9649123,0.93333334,0.9672131
2/18/19,0.9655172,0.9691781,0.9050633,0.9574468,0.8181818,0.95689654
2/17/19,0.95264626,0.9465116,0.9338235,0.9710145,0.9047619,0.9385965
2/16/19,0.96223223,0.9358108,0.9036697,0.9818182,0.9,0.9574468
2/15/19,0.96750486,0.9371069,0.93449783,,0.9230769,0.9141104
2/14/19,0.9658873,0.94074076,0.91791046,0.89285713,0.9122807,0.960199
2/13/19,0.9649179,0.95214105,0.962963,,0.8115942,0.95384616
2/12/19,0.9694682,0.92,0.9162996,0.9459459,0.9423077,0.925
2/11/19,0.9627756,0.9266917,0.9097222,,0.95348835,0.9493671
2/10/19,0.96547884,0.9154589,0.93373495,0.9861111,0.8360656,0.96666664
2/9/19,0.96231747,0.89849627,0.95767194,0.96907216,0.95,0.9640288
2/8/19,0.9612903,0.94524497,0.943128,0.9777778,0.9,0.93157893
2/6/19,0.9603356,0.90163934,0.94570136,0.95238096,0.92,0.95884776
2/5/19,0.96273065,0.94182825,0.94014084,0.962963,0.95454544,0.980198
2/4/19,0.9698849,0.9222462,0.94871795,,0.9032258,0.9787234
2/3/19,0.9645794,0.9296482,0.9227053,0.9701493,0.88372093,0.9433962
2/2/19,0.96420825,0.92727274,0.94871795,0.93333334,0.969697,0.9508197
1/31/19,0.9661017,0.9306667,0.8880866,,0.9310345,0.94244605
1/30/19,0.9617591,0.94722956,0.9351351,0.89285713,0.875,0.96268654
1/29/19,0.9614148,0.92746115,0.94525546,,0.8888889,0.95625
1/28/19,0.9665365,0.9021277,0.9198113,,0.88235295,0.9444444
1/27/19,0.9569513,0.89047617,0.88235295,0.98039216,0.85714287,0.9099099
1/26/19,0.9611187,0.9409283,0.9254658,0.9655172,0.9268293,0.9059829
1/25/19,0.9578849,0.9047619,0.9336493,0.969697,0.8064516,0.9444444
1/24/19,0.9581673,0.9411765,0.9308756,,0.9375,0.95394737
1/23/19,0.95928574,0.9339623,0.8854167,,0.93939394,0.9325843
1/22/19,0.96779454,0.90039843,0.8272727,0.95238096,0.72727275,0.9391304
1/21/19,0.95926476,0.913242,0.92528737,0.9047619,0.96,0.9634146
1/20/19,0.96571845,0.9575071,0.91150445,0.8867925,0.9655172,0.959596
1/19/19,0.97019464,0.91093117,0.9285714,0.96363634,0.93333334,0.9527027
1/18/19,0.9760181,0.93421054,0.9076087,0.9583333,0.9411765,0.95679015
1/17/19,0.96701527,0.9124424,0.84827584,0.9622642,0.9130435,0.9431818
1/16/19,0.9635775,0.9281768,0.9076087,0.95348835,0.8888889,0.9396552
1/15/19,0.96153843,0.89855075,0.92941177,0.8333333,0.75,0.89115644
1/14/19,0.96293247,0.8832117,0.890511,0.96,0.8888889,0.9285714
1/13/19,0.9661908,0.93307084,0.8730159,0.9230769,0.90625,0.9479167
1/12/19,0.95710784,0.9519651,0.8895349,0.92105263,0.85714287,0.9685535
1/11/19,0.9716007,0.8924303,0.95108694,0.98245615,0.875,0.9748428
1/10/19,0.9667848,0.9435484,0.9067358,,0.95238096,0.96428573
1/9/19,0.97159535,0.8912134,0.9356725,0.8717949,0.86206895,0.9766082
1/8/19,0.9694305,0.9272152,0.9130435,,0.88235295,0.9722222
1/7/19,0.9668874,0.95454544,0.9259259,0.95652175,0.95238096,0.9302326
1/6/19,0.96391755,0.93971634,0.9099099,0.925,0.9705882,0.9157895
1/5/19,0.9588068,0.9298246,0.9076087,0.9787234,0.9411765,0.98125
1/4/19,0.97238094,0.9230769,0.9461538,0.9655172,0.75,0.93157893
1/3/19,0.9689781,0.93189967,0.93264246,,0.8333333,0.9631579
1/2/19,0.9721393,0.9076305,0.9368421,,0.84210527,0.95731705
1/1/19,0.9548387,0.94212216,0.9366197,,0.72727275,0.9577465
12/31/18,0.9625891,0.8909091,0.9440559,,0.9166667,0.93670887
12/20/18,0.96946067,0.9351852,0.9398496,,0.7894737,0.9150943
12/19/18,0.97193766,0.9490909,0.943038,,0.88372093,0.9444444
12/10/18,0.9777915,0.8980892,0.94708997,,0.96,0.9607843
12/9/18,0.9678771,0.9488372,0.91333336,,0.95652175,0.944
12/8/18,0.9609953,0.94650203,0.9189189,,0.9230769,0.9512195
12/7/18,0.97186244,0.9177632,0.9461538,,0.9354839,0.9259259
12/6/18,0.9719472,0.9457143,0.81395346,,0.9318182,0.94871795
12/5/18,0.9659751,0.9337748,0.9166667,,0.9347826,0.95862067
12/4/18,0.9712352,0.9453552,0.9652174,,0.8965517,0.9756098
12/3/18,0.9649976,0.9375,0.86915886,0.97619045,0.8666667,0.969697
12/2/18,0.9540412,0.8965517,0.9465649,,0.7083333,0.9694657
12/1/18,0.96677524,0.92105263,0.953917,,0.8333333,0.9709302
11/30/18,0.96927375,0.9003831,0.9279279,,0.9117647,0.92121214
11/29/18,0.96456355,0.952,0.95454544,,0.79591835,0.9689441
11/28/18,0.9598214,0.94925374,0.9153846,,0.8730159,0.9691358
11/27/18,0.96569604,0.93041235,0.94067794,,0.88135594,0.9802632
11/26/18,0.9656743,0.93095237,0.9432624,,0.9705882,0.98165137
11/25/18,0.95830387,0.9468691,0.9076923,,0.7761194,0.9528302
11/24/18,0.9574166,0.9549072,0.94054055,0.9268293,0.88095236,0.98540145
11/23/18,0.9611111,0.9197861,0.9144385,0.9166667,0.8269231,0.92168677
11/22/18,0.9630845,0.9069264,0.9268293,0.9230769,0.8611111,0.9587629
11/21/18,0.9677275,0.95,0.8960396,0.96153843,0.95348835,0.95679015
11/20/18,0.96913844,0.9403794,0.92574257,0.96153843,0.78571427,0.92178774
11/19/18,0.9671111,0.93333334,0.91780823,0.96153843,0.88,0.94957983
11/18/18,0.9797347,0.936,0.9172414,0.9736842,0.8,0.96825397
11/17/18,0.957302,0.9047619,0.92508143,,0.87234044,0.96067417
11/16/18,0.97287357,0.9177215,0.9212963,0.9375,0.9230769,0.9655172
11/15/18,0.972147,0.9216216,0.9230769,0.97727275,0.84210527,0.95108694
11/14/18,0.9645945,0.9296482,0.9183673,0.9512195,0.94736844,0.9518072
11/13/18,0.97062474,0.88121545,0.92462313,0.90163934,0.7692308,0.9668874
11/12/18,0.97043866,0.9411765,0.91803277,0.9661017,0.85,0.96153843
11/11/18,0.9652733,0.9382716,0.86614174,0.94736844,0.9354839,0.97321427
11/10/18,0.9569251,0.9319728,0.91457283,0.875,0.93877554,0.9652778
11/9/18,0.96854305,0.87931037,0.9554455,0.9852941,0.8666667,0.94871795
11/8/18,0.9679784,0.8836478,0.9336283,0.9310345,0.9230769,0.95652175
11/7/18,0.961183,0.9507042,0.91943127,,0.96666664,0.9689441
11/6/18,0.9701931,0.9263804,0.9131944,0.96428573,0.88461536,0.96756756
11/5/18,0.96228814,0.9521531,0.89344263,0.9791667,0.9375,0.96190476
11/4/18,0.9664981,0.9526627,0.9121622,,0.9166667,0.9622642
11/3/18,0.96558195,0.9435484,0.92820513,0.98245615,0.8684211,0.9411765
11/2/18,0.9648305,0.9259259,0.8952381,,0.8648649,0.9256757
11/1/18,0.9703854,0.95950156,0.9125,0.9591837,0.85,0.9166667
10/31/18,0.971974,0.9259259,0.94,0.9818182,0.8125,0.96407187
10/30/18,0.96728367,0.92038214,0.89497715,,0.84444445,0.9625
10/29/18,0.9674061,0.94224924,0.8882353,0.96590906,0.92105263,0.95412844
10/28/18,0.9467613,0.93225807,0.92248064,,0.9444444,0.9230769
10/27/18,0.9634146,0.93846154,0.9385475,0.96428573,0.87096775,0.9591837
10/26/18,0.9731114,0.9668874,0.89893615,0.984127,0.8867925,0.9719101
10/25/18,0.9698532,0.9502618,0.91542286,0.9846154,0.84615386,0.902439
10/24/18,0.97766954,0.9467787,0.93877554,0.9770115,0.95,0.91573036
10/23/18,0.9693916,0.925,0.93172693,0.9661017,0.9117647,0.962963
10/22/18,0.9596395,0.9317507,0.93442625,0.94285715,0.84210527,0.9298246
10/21/18,0.96313363,0.9244713,0.9380531,,0.8888889,0.973913
10/20/18,0.951282,0.9192825,0.8923077,,0.8,0.93333334
10/19/18,0.9737052,0.92565054,0.9708029,0.98630136,0.8695652,0.9148936
10/18/18,0.97194535,0.9348659,0.9247312,0.975,0.8666667,0.9556962
10/17/18,0.9617647,0.943662,0.95238096,0.9444444,0.9411765,0.9689441
10/16/18,0.9656085,0.93950176,0.90865386,0.96153843,0.7826087,0.9378882
10/15/18,0.97040635,0.9584775,0.92561984,0.98214287,0.88,0.97029704
10/14/18,0.9651802,0.93406594,0.9430894,0.9705882,0.25,0.95348835
10/13/18,0.97529256,0.9429658,0.9293478,0.9875,0.8947368,0.9797297
10/12/18,0.967935,0.948,0.9444444,0.9591837,0.93333334,0.93333334
10/11/18,0.9736541,0.9279539,0.9398148,0.96,0.8181818,0.9583333
10/10/18,0.5070422,0.93846154,0.9117647,0.98214287,0.962963,0.95035464
10/9/18,0.97016037,0.47058824,0.94262296,0.93442625,0.9375,0.9707602
10/8/18,0.97000337,0.9351351,0.8815789,0.9649123,0.92105263,0.9611651
10/7/18,0.9526502,0.9470405,0.90909094,0.9864865,0.8666667,0.9508197
10/6/18,0.9641975,0.9221311,0.96153843,0.98039216,0.80487806,0.9649123
10/5/18,0.9625864,0.925816,0.8888889,0.9583333,0.84210527,0.97029704
10/4/18,0.96165645,0.9376855,0.36363637,0.90909094,0.7894737,0.61538464
10/3/18,0.9638826,0.9014423,0.94545454,0.98275864,0.9285714,0.9681529
10/2/18,0.9732247,0.9529703,0.9285714,0.9807692,0.85714287,0.98255813
