Registrar,Raw,Percentage,Total
Google,394,29%,1354
Wild,325,24%,
Tucows,148,11%,
1&1,90,7%,
eNom,66,5%,
Alibaba,56,4%,
Porkbun,40,3%,
BigRock,36,3%,
Domain.com,33,2%,
FastDomain,24,2%,
Name.com,17,1%,
Web,17,1%,
OnlineNIC,13,1%,
Hosting,9,1%,
Instra,9,1%,
101domain,8,1%,
Network,8,1%,
Key-Systems,7,1%,
Namecheap,7,1%,
Registrar,7,1%,
TLD,6,0%,
URL,5,0%,
Epik,4,0%,
Launchpad.com,4,0%,
NamePal.com,3,0%,
Ascio,2,0%,
Cloud,2,0%,
DropCatch.com,2,0%,
Go,2,0%,
HiChina,2,0%,
Registered,2,0%,
Shinjiru,2,0%,
SNAPNAMES,2,0%,
Xiamen,2,0%,
