EUR GD,EUR,GBP GD,GBP,INR GD,INR,USD GD,USD
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,1.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,1.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,1.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,1.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,1.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,1.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,1.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,1.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,1.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,1.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,2.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,2.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,2.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,2.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,2.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,2.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,2.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,2.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,2.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,2.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,3.49,0.99,0.99,0.99,0.99,0.99,0.99
0.99,4.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,4.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,4.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,4.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,4.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,4.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,4.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,4.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,4.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,4.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,4.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,4.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,4.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,4.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,4.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,4.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,4.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,6.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,6.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,7.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,9.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,9.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,9.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,9.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,9.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,9.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,9.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,9.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,9.99,0.99,1.99,0.99,0.99,0.99,0.99
0.99,9.99,0.99,1.99,0.99,0.99,0.99,0.99
0.99,9.99,0.99,1.99,0.99,0.99,0.99,0.99
0.99,9.99,0.99,1.99,0.99,0.99,0.99,0.99
0.99,9.99,0.99,1.99,0.99,0.99,0.99,0.99
0.99,9.99,0.99,1.99,0.99,0.99,0.99,0.99
0.99,11.99,0.99,1.99,0.99,0.99,0.99,0.99
0.99,11.99,0.99,1.99,0.99,0.99,0.99,0.99
0.99,11.99,0.99,1.99,0.99,0.99,0.99,0.99
0.99,11.99,0.99,1.99,0.99,0.99,0.99,0.99
0.99,11.99,0.99,1.99,0.99,0.99,0.99,0.99
0.99,11.99,0.99,1.99,0.99,0.99,0.99,0.99
0.99,11.99,0.99,1.99,0.99,0.99,0.99,0.99
0.99,11.99,0.99,1.99,0.99,0.99,0.99,0.99
0.99,11.99,0.99,1.99,0.99,0.99,0.99,0.99
0.99,11.99,0.99,1.99,0.99,0.99,0.99,0.99
0.99,11.99,0.99,1.99,0.99,0.99,0.99,0.99
0.99,11.99,0.99,1.99,0.99,0.99,0.99,0.99
0.99,11.99,0.99,1.99,0.99,0.99,0.99,0.99
0.99,11.99,0.99,1.99,0.99,0.99,0.99,0.99
0.99,11.99,0.99,1.99,0.99,0.99,0.99,0.99
0.99,11.99,0.99,1.99,0.99,0.99,0.99,0.99
0.99,11.99,0.99,1.99,0.99,0.99,0.99,0.99
0.99,11.99,0.99,1.99,0.99,0.99,0.99,0.99
0.99,11.99,0.99,1.99,0.99,0.99,0.99,0.99
0.99,11.99,0.99,2.99,0.99,0.99,0.99,0.99
0.99,11.99,0.99,2.99,0.99,0.99,0.99,0.99
0.99,11.99,0.99,2.99,0.99,0.99,0.99,0.99
0.99,11.99,0.99,2.99,0.99,0.99,0.99,0.99
0.99,11.99,0.99,2.99,0.99,1.99,0.99,0.99
0.99,11.99,0.99,2.99,0.99,1.99,0.99,0.99
0.99,11.99,0.99,2.99,0.99,1.99,0.99,0.99
0.99,11.99,0.99,2.99,0.99,1.99,0.99,0.99
0.99,11.99,0.99,2.99,0.99,1.99,0.99,0.99
0.99,11.99,0.99,2.99,0.99,1.99,0.99,0.99
0.99,11.99,0.99,2.99,0.99,1.99,0.99,0.99
0.99,11.99,0.99,2.99,0.99,1.99,0.99,0.99
0.99,11.99,0.99,2.99,0.99,1.99,0.99,0.99
0.99,11.99,0.99,2.99,0.99,1.99,0.99,0.99
0.99,11.99,0.99,2.99,0.99,1.99,0.99,0.99
0.99,11.99,0.99,2.99,0.99,1.99,0.99,0.99
0.99,11.99,0.99,2.99,0.99,1.99,0.99,0.99
0.99,11.99,0.99,2.99,0.99,1.99,0.99,0.99
0.99,11.99,0.99,2.99,0.99,1.99,0.99,0.99
0.99,11.99,0.99,2.99,0.99,1.99,0.99,0.99
0.99,11.99,0.99,2.99,0.99,1.99,0.99,0.99
0.99,11.99,0.99,3.49,0.99,1.99,0.99,0.99
0.99,11.99,0.99,3.49,0.99,1.99,0.99,0.99
0.99,11.99,0.99,3.49,0.99,1.99,0.99,0.99
0.99,11.99,0.99,4.99,0.99,2.99,0.99,0.99
0.99,11.99,0.99,4.99,0.99,2.99,0.99,0.99
0.99,11.99,0.99,4.99,0.99,2.99,0.99,0.99
0.99,11.99,0.99,4.99,0.99,2.99,0.99,0.99
0.99,11.99,0.99,4.99,0.99,2.99,0.99,0.99
0.99,11.99,0.99,4.99,0.99,2.99,0.99,0.99
0.99,11.99,0.99,4.99,0.99,2.99,0.99,0.99
0.99,11.99,0.99,4.99,0.99,2.99,0.99,0.99
0.99,11.99,0.99,4.99,0.99,2.99,0.99,0.99
0.99,11.99,0.99,4.99,0.99,2.99,0.99,0.99
0.99,11.99,0.99,4.99,0.99,2.99,0.99,0.99
0.99,11.99,0.99,4.99,0.99,2.99,0.99,0.99
0.99,11.99,0.99,4.99,0.99,2.99,0.99,0.99
0.99,11.99,0.99,4.99,0.99,2.99,0.99,0.99
0.99,11.99,0.99,4.99,0.99,2.99,0.99,0.99
0.99,11.99,0.99,4.99,0.99,3.49,0.99,0.99
0.99,11.99,0.99,4.99,0.99,4.99,0.99,0.99
0.99,11.99,0.99,4.99,0.99,4.99,0.99,0.99
0.99,11.99,0.99,4.99,0.99,4.99,0.99,0.99
0.99,11.99,0.99,4.99,0.99,4.99,0.99,0.99
0.99,11.99,0.99,4.99,0.99,4.99,0.99,0.99
0.99,11.99,0.99,4.99,0.99,4.99,0.99,0.99
0.99,11.99,0.99,4.99,0.99,4.99,0.99,0.99
0.99,11.99,0.99,4.99,0.99,4.99,0.99,0.99
0.99,11.99,0.99,4.99,0.99,4.99,0.99,0.99
0.99,11.99,0.99,4.99,0.99,4.99,0.99,0.99
0.99,11.99,0.99,4.99,0.99,4.99,0.99,0.99
0.99,11.99,0.99,4.99,0.99,4.99,0.99,0.99
0.99,11.99,0.99,4.99,0.99,4.99,0.99,0.99
0.99,11.99,0.99,4.99,0.99,4.99,0.99,0.99
0.99,11.99,0.99,4.99,0.99,4.99,0.99,0.99
0.99,11.99,0.99,4.99,0.99,4.99,0.99,0.99
0.99,11.99,0.99,4.99,0.99,4.99,0.99,0.99
0.99,11.99,0.99,4.99,0.99,4.99,0.99,0.99
0.99,11.99,0.99,4.99,0.99,4.99,0.99,0.99
0.99,11.99,0.99,4.99,0.99,4.99,0.99,0.99
0.99,11.99,0.99,4.99,0.99,4.99,0.99,0.99
0.99,11.99,0.99,4.99,0.99,4.99,0.99,0.99
0.99,11.99,0.99,4.99,0.99,4.99,0.99,0.99
0.99,11.99,0.99,4.99,0.99,4.99,0.99,0.99
0.99,12.99,0.99,4.99,0.99,4.99,0.99,0.99
0.99,12.99,0.99,4.99,0.99,4.99,0.99,0.99
0.99,13.99,0.99,4.99,0.99,4.99,0.99,0.99
0.99,13.99,0.99,4.99,0.99,4.99,0.99,0.99
0.99,13.99,0.99,4.99,0.99,4.99,0.99,0.99
0.99,13.99,0.99,4.99,0.99,4.99,0.99,0.99
0.99,13.99,0.99,6.99,0.99,4.99,0.99,0.99
0.99,13.99,0.99,7.99,0.99,4.99,0.99,0.99
0.99,14.99,0.99,9.99,0.99,4.99,0.99,0.99
0.99,14.99,0.99,9.99,0.99,4.99,0.99,0.99
0.99,14.99,0.99,9.99,0.99,6.99,0.99,0.99
0.99,14.99,0.99,9.99,0.99,9.99,0.99,0.99
0.99,16.99,0.99,9.99,0.99,9.99,0.99,0.99
0.99,16.99,0.99,9.99,0.99,9.99,0.99,0.99
0.99,16.99,0.99,9.99,0.99,9.99,0.99,0.99
0.99,16.99,0.99,9.99,0.99,9.99,0.99,0.99
0.99,16.99,0.99,9.99,0.99,9.99,0.99,0.99
0.99,16.99,0.99,9.99,0.99,9.99,0.99,0.99
0.99,16.99,0.99,9.99,0.99,9.99,0.99,0.99
0.99,16.99,0.99,9.99,0.99,9.99,0.99,0.99
0.99,32.99,0.99,9.99,0.99,9.99,0.99,0.99
0.99,32.99,0.99,9.99,0.99,9.99,0.99,0.99
